ID,prob_admiration,prob_amusement,prob_approval,prob_caring,prob_curiosity,prob_excitement,prob_desire,prob_gratitude,prob_joy,prob_love,prob_pride,prob_optimism,prob_relief,prob_anger,prob_annoyance,prob_disappointment,prob_disapproval,prob_disgust,prob_embarrassment,prob_fear,prob_grief,prob_nervousness,prob_remorse,prob_sadness,prob_confusion,prob_realization,prob_surprise,prob_neutral,positive_emotion,negative_emotion,ambiguous_emotion
298164,0.16,0.02,0.14,0.0,0.0,0.01,0.0,0.0,0.06,0.01,0.0,0.01,0.0,0.0,0.01,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.48,0.41,0.07,0.49
193557,0.16,0.03,0.1,0.0,0.0,0.01,0.01,0.01,0.1,0.04,0.0,0.02,0.0,0.01,0.03,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.31,0.48,0.13,0.36
69175,0.12,0.04,0.07,0.0,0.03,0.03,0.01,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.05,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.01,0.34,0.41,0.16,0.41
166556,0.1,0.09,0.1,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.01,0.06,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.47,0.35,0.14,0.48
367642,0.13,0.06,0.11,0.0,0.01,0.01,0.01,0.0,0.16,0.0,0.0,0.05,0.01,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.36,0.55,0.04,0.4
6646,0.22,0.03,0.09,0.0,0.02,0.01,0.02,0.0,0.05,0.06,0.0,0.02,0.0,0.0,0.04,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.0,0.26,0.52,0.15,0.31
9385,0.17,0.02,0.13,0.0,0.05,0.01,0.0,0.0,0.08,0.03,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,0.35,0.5,0.03,0.46
89340,0.04,0.06,0.08,0.0,0.01,0.01,0.0,0.0,0.11,0.01,0.0,0.01,0.0,0.0,0.07,0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.36,0.33,0.26,0.39
182276,0.11,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.77,0.19,0.01,0.78
3746,0.15,0.07,0.16,0.0,0.0,0.02,0.03,0.0,0.16,0.06,0.0,0.01,0.01,0.0,0.04,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.12,0.67,0.16,0.15
42686,0.09,0.12,0.07,0.0,0.0,0.01,0.01,0.0,0.09,0.06,0.0,0.01,0.0,0.01,0.05,0.05,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.36,0.46,0.15,0.38
